protein_id	md5	length	has_internal_stop	in_uniparc	n_interpro	n_pfam	n_go	n_interpro_gos	interpro_gos
APU25_18550	00D79AC9953840891780B338EDF047ED	900	no	no					
APU25_18555	D34E8A644BF988596743970DC15BE53F	133	no	yes	0	0	0		
APU25_18560	38B1B66515E978B9154C55D5C103E76C	219	no	yes	3	1	0	3	GO:0006508,GO:0008234,GO:0019784
APU25_18565	F88E669B2A2B343902172127A862B847	337	no	yes	2	1	0	1	GO:0003676
APU25_18570	0C1C3A0F87811B2D9D01750B40B376DD	670	no	no					
APU25_18575	AA9D5B1AF3378C0CC88311E95B9150EF	568	no	no					
APU25_18580	3A881D0CD3DB1AE35788E548F8775F38	653	no	yes	10	5	0	2	GO:0003677,GO:0005634
APU25_18585	524534D016CF354A3080D97E0EE7BC49	372	no	no					
APU25_18590	AFD8BB19122284D6FB124DA20371EAC5	1295	no	no					
APU25_18595	CB2B67515A50F26B52424A30FD65458F	279	no	no					
APU25_18600	3A06653348B4A899F619C72B421AF294	504	no	no					
APU25_18605	2506BC8FF89C4CDAB74045CB7D211370	212	no	yes	4	2	0	2	GO:0005634,GO:0006260
APU25_18610	9792C174C4501C9D517A1696E4C23F67	1056	no	no					
APU25_18615	B3BEFAB119E6E833BF6271CC6DE34E81	341	no	yes	5	2	0	6	GO:0003677,GO:0003824,GO:0003918,GO:0005524,GO:0005694,GO:0006259
APU25_18620	5D80403663192A524A7728873DE6FDAF	143	no	yes	3	1	0	1	GO:0016020
APU25_18625	E5D7B27A41DDB71F71C46C655F87A959	346	no	no					
APU25_18630	33C461B90E5690E85A3CACDC425768F7	253	no	yes	0	0	0		
APU25_18635	31365252C63E1095F4A5FB6C9ACF4E90	456	no	no					
APU25_18640	CAC32EC047BB70DFCA65FC1932161C89	820	no	no					
APU25_18645	8EF9F9234DAFD7FA20E2D4934AC435E8	81	no	yes	1	1	0		
APU25_18650	5128C0A42B9127A4ECFA86BC8F52D5A7	918	no	no					
APU25_18655	2D262B4544CB34677C241C1C716FDDBF	2202	no	no					
APU25_18660	3ABADC6C120CD8862A3698F1E69FD610	239	no	no					
APU25_18665	8B3D4CD34A795E1E8FE973DC13B485D6	135	no	yes	2	1	0		
APU25_18670	5C9EDA36943F1DBAAAEF7B8ADE266E98	272	no	yes	2	1	0	1	GO:0046907
APU25_18675	F4F7AA3BB7F2A6912FEB9CD139C98191	271	no	yes	3	1	0		
APU25_18680	9BCA62FE7492933D7A707C891F61AA04	165	no	yes	2	0	0	1	GO:0005762
APU25_18685	3539167690AA4DB51FD9FC1B208C337E	619	no	yes	8	4	0	4	GO:0000287,GO:0004614,GO:0005975,GO:0016868
APU25_18690	ABF2C6C7F5F5195C06A591BB21C08144	318	no	yes	0	0	0		
APU25_18695	6FFD27AE88D6F856EE0D555D31718E5F	97	no	no					
APU25_18700	8CF429DE63F77091D734B7495FB02A59	252	no	yes	3	1	0	2	GO:0030246,GO:2001070
APU25_18705	998D01DF268F06E189E3511FC7ACB418	162	no	yes	2	1	0	1	GO:0016730
APU25_18710	CB885F7ADFA268CF02CDC60E9E207005	357	no	yes	3	1	0	2	GO:0003676,GO:0003723
APU25_18715	5ED9EB5028D7270E35464455590CB31F	330	yes	no					
APU25_18720	71EF535CC2B86C0FB71D9004D4041C7C	324	no	no					
APU25_18725	40F0CDB4C6C9A63265DBEFC0979FD66F	277	no	yes	3	1	0		
APU25_18730	8C6FDE3D3922FC5B2446157DCFE3BDFA	444	no	yes	2	1	0	1	GO:0003676
APU25_18735	3E6C1FCC8CA0F23863731FE575441F3B	274	no	no					
APU25_18740	D32C271F35F3373FA5E102C508DAE2F2	391	no	yes	5	2	0	6	GO:0003684,GO:0003824,GO:0006281,GO:0006284,GO:0006289,GO:0008534
APU25_18745	E998DC3BB9D8518403757CEABF8B762D	643	no	no					
APU25_18750	D70838A708074595A5AAF9039DD540BA	1076	no	no					
APU25_18755	918F88D30BC5962F8FB7519D0C527D48	630	no	no					
APU25_18760	63A584FFA0D2456291452839E25962F0	849	no	yes	7	2	0	5	GO:0005524,GO:0016020,GO:0016887,GO:0055085,GO:0140359
APU25_18765	52BBBE34047D496D733C6F56B7142A4D	393	no	yes	4	1	0		
APU25_18770	EDC33BA2EB5EFB3803C6914FF070E825	610	no	no					
APU25_18775	1BF357E0B8CF688DC82CF9DA16263040	363	yes	no					
APU25_18780	D2AEF4D9A5CC738A62DBFA7754D04B1B	82	no	yes	1	1	0		
APU25_18785	67F801F44204B5A2C60343B428867F8F	240	no	no					
APU25_18790	7F5596AAD06DE9FE698108C67561D900	272	no	yes	0	0	0		
APU25_18795	D7986A64D1ED6B650AE702AC14646B4A	225	no	yes	0	0	0		
APU25_18800	1ED5D009FEAA7D8F7B117562559FAE17	1578	no	no					
APU25_18805	BB89800302B3A4F476E819EE18B27274	107	no	yes	5	1	0		
APU25_18810	0E430967E3567078F6A22A387FEA3A43	148	no	yes	0	0	0		
APU25_18815	3F3E283D527D83073B7ED1A8FA564F2E	450	no	yes	4	1	0	1	GO:0005096
APU25_18820	E5A93DB42DD28DA5E00DDBA6865C11C6	318	yes	no					
APU25_18825	46257A410F4B62454F058AE612E61ED5	876	no	yes	2	1	0	2	GO:0006508,GO:0008234
APU25_18830	CE0CB5D98FA09CFF59CCC73E27284652	90	no	no					
APU25_18835	E9BF94B53F2B104389996F9495FE6EAD	243	no	yes	0	0	0		
APU25_18840	578C6FE46DB47E1F7750540744CFB881	640	no	yes	5	1	0	2	GO:0005524,GO:0016887
APU25_18845	9692623A26FA56BA94CE9BDA078C48CF	251	no	no					
APU25_18850	A396F743D8D793EA44E3D244F523F6A6	192	no	yes	6	2	0	5	GO:0003723,GO:0003735,GO:0006412,GO:0015935,GO:0019843
APU25_18855	4CF317A46987245E598E1CE4499120BB	83	no	yes	1	1	0	1	GO:0070072
APU25_18860	4E91E80CEFE29A62524EE5DCA844027A	258	no	yes	1	1	0	1	GO:0007034
APU25_18865	C9FCE9B05B5B3724BF9E9C2355369015	95	no	yes	0	0	0		
APU25_18870	8671365D28495811BD7010E668D284C5	296	no	no					
APU25_18875	0BDBE34E71CDEA136C6008AA6D1D6AE4	2953	no	no					
APU25_18880	34C07325F997FE93B4BE8AA8DBB3618D	453	no	no					
APU25_18885	09A96F3880428E9A47A332EC545D76CE	433	no	yes	5	1	0	2	GO:0005524,GO:0016887
APU25_18890	AC34226CEBC29EB94FEC35AC589E53E5	122	no	yes	5	2	0	2	GO:0005672,GO:0006367
APU25_18895	42541C44DBCA5C607298C0D75154BB93	631	no	yes	3	1	0		
APU25_18900	70F38F8A78957C4D0B53B91C46767F1B	531	yes	no					
APU25_18905	944AC08A8BEE4249E5F71813BD050417	178	no	yes	1	0	0		
APU25_18910	830C04A43882524E7AEF0AFC0063256C	220	no	yes	4	1	0	3	GO:0003735,GO:0005840,GO:0006412
APU25_18915	F1F7F8C6591DFD3DB7C7C2B24BA3873E	612	no	no					
APU25_18920	E1D509FF685AD45EFB2E14F71059EEE7	181	no	yes	0	0	0		
APU25_18925	556A6CA2DC6A4FB42F09C69CDAB2CA87	525	no	no					
APU25_18930	58780B426600F16D340F70269297E2CF	108	no	yes	4	1	0	3	GO:0003735,GO:0005840,GO:0006412
APU25_18935	7AE7ECABCDF0B45429B4EB0239011E08	382	no	yes	3	2	0	6	GO:0000287,GO:0005524,GO:0032957,GO:0047325,GO:0052725,GO:0052726
APU25_18940	B46387DBDF005EEF4EAB2D625703115D	463	yes	no					
APU25_18945	670F78BB10ABD674D3C48EC6FF4BF460	448	no	yes	4	0	0	2	GO:0005515,GO:0061630
APU25_18950	6F1A5C01449D48E261A5AD01364A0178	471	no	no					
APU25_18955	4B220FD00496522B1848AD633AFAE82A	172	no	yes	2	1	0	2	GO:0005634,GO:0006325
APU25_18960	2294A136CC154F7D57F3BA7EB64D1772	192	no	yes	3	1	0	5	GO:0005634,GO:0005669,GO:0006367,GO:0046982,GO:0051123
APU25_18965	7589FCFDF61D3EFB452084E2BE30B90F	317	no	yes	2	1	0	1	GO:0006354
APU25_18970	64B3EFFE5A6A43116C4A7BAC56A2D70A	346	no	yes	3	1	0	1	GO:0055085
APU25_18975	23CCF19C239EBFBDA8C6D5CECFAA031C	769	no	no					
APU25_18980	EA71FBA51398A2BEA70ECBE467765288	100	no	yes	4	1	0	3	GO:0005524,GO:0006457,GO:0044183
APU25_18985	2F1F9B82A266DD63EDE09A9471280B64	524	no	no					
APU25_18990	7B1506D4679E929B60A94C0F60C70DCC	314	no	yes	5	1	0	2	GO:0004462,GO:0046872
APU25_18995	543AC3B39510577BBE72045EC801C980	258	no	yes	0	0	0		
APU25_19000	655355A56B71A334E15B69A826A57F7B	572	no	yes	0	0	0		
APU25_19005	B107D636A16E2920DE4B41C497A1FE8A	598	no	no					
APU25_19010	3C0F0DF2C00FC38A3B442E388A1F357B	219	yes	no					
APU25_19015	409CD5136F8361E3AFF274928D917639	289	no	yes	2	0	0		
APU25_19020	CF06594AD53AB0090CB2EDB0116C266E	797	no	yes	0	0	0		
APU25_19025	FF632FEF8241841682F6A11D8D5BCA84	188	no	no					
APU25_19030	65D915DD60F657C8B0BEF0441BB8BDDD	877	yes	no					
APU25_19035	48B6BE61E0A00E0FC7750069CDF1DD6E	118	no	yes	1	1	0		
APU25_19040	17FD7F6F3472ACF7AE6D3DBEC275E5BD	254	no	yes	5	1	0	3	GO:0004176,GO:0004252,GO:0006508
APU25_19045	8A5184065C245DF733A6E0CDF78D04E5	168	no	no					
APU25_19050	DDD1108827C29892DA43ED21C77A8D52	220	no	yes	1	1	0		
APU25_19055	904BDFFC33DDD1BE1CED87B365536AD2	414	no	yes	1	1	0	4	GO:0016020,GO:0030001,GO:0046873,GO:0055085
APU25_19060	B3C536793D3C2F750E972D8AE451029B	516	no	yes	7	1	0	4	GO:0004372,GO:0006545,GO:0030170,GO:0035999
APU25_19065	9D18B01E392EE9CF8FF3AA64821A12B5	412	no	yes	6	2	0	4	GO:0006006,GO:0016620,GO:0050661,GO:0051287
APU25_19070	8CA1319479E3F58A00286229A825D489	293	no	yes	3	2	0	4	GO:0003735,GO:0005840,GO:0006412,GO:0008097
APU25_19075	3B299A48AB298E4C7E07DDE219C82055	104	no	yes	0	0	0		
APU25_19080	AE486218AF3D4170BBAFF54ED04F4400	138	no	yes	0	0	0		
APU25_19085	7773E4DB8A75CE9BE1F9AFD984D3C098	300	no	no					
APU25_19090	42C016022E6461B8699718512C0A9A21	553	no	yes	3	0	0	3	GO:0003677,GO:0003700,GO:0006355
APU25_19095	FAE127C18392261B380A87514146EE4A	284	no	no					
APU25_19100	EF41C018BC287F92FC0BD4A3D0FA2088	512	no	yes	4	1	0	5	GO:0006812,GO:0006829,GO:0008324,GO:0016020,GO:0055085
APU25_19105	E67071436F0884C3F57166288132CBD5	1376	no	no					
APU25_19110	067037B070C52661B1DAB0A1E48E2EC7	185	no	yes	1	0	0		
APU25_19115	B97E954386C5275AAEB9F313E0727977	72	no	yes	0	0	0		
APU25_19120	1C9751CD94B34EA3087E67C13FD6FFE3	283	yes	no					
APU25_19125	7267A58D8BA8C60D6CD689CD33600B0C	310	no	yes	1	0	0		
APU25_19130	E64317F51B2A71618A3EF2D7D27BAB84	357	no	yes	0	0	0		
APU25_19135	ACD1D986C8590292F80260BF2D8E6D90	1304	no	yes	7	2	0	6	GO:0003824,GO:0006281,GO:0006284,GO:0019104,GO:0035514,GO:0141166
APU25_19140	0B604058FEE11D741E1AA09FBBC98BD7	1060	no	no					
APU25_19145	BC70F750B11E46C0A4F2DA53CAF0E50A	442	no	yes	6	1	0		
APU25_19150	B4CBF9BC5D87FA581B4E00679A909C88	467	no	no					
APU25_19155	5A4A3300A112CD76028AE9E49A0657B0	434	no	yes	3	2	0	2	GO:0016616,GO:0051287
APU25_19160	4A236C411A9AF2ACB1812ADC13DAF798	599	no	yes	4	1	0	1	GO:0016491
APU25_19165	783E1CD27D00E969A6F17304CDCF4B19	150	no	no					
APU25_19170	201E6F8B80B773A80197004B05F093E2	175	no	no					
APU25_19175	0BAFB3B99B8E4D264ECED3B86A8C5BF6	94	no	yes	0	0	0		
APU25_19180	46F4336BD6156CF37EBD14E21F34370E	438	no	yes	4	2	0	3	GO:0003743,GO:0005737,GO:0005852
APU25_19185	1B2736DC8C25E45C005B890B31AC8A4C	261	no	yes	1	1	0		
APU25_19190	28468C7ABF1A865CA2F157EA8039659F	1389	no	no					
APU25_19195	ED0FFC3A6005D7EBBF2AE05DA24C0175	1611	no	yes	7	6	0	2	GO:0003980,GO:0009101
APU25_19200	93EEDDFFE88E3A8923D3CF081CB1956C	262	no	no					
APU25_19205	E6295F43DF1E6072AD25AA2FF1333933	393	no	yes	1	1	0	1	GO:0016020
APU25_19210	0823EE2FB916C20E2A002C9EA64A8D2D	265	no	no					
APU25_19215	9CC3B16722C62750C7D9C6968A6F45A1	570	no	yes	2	1	0		
APU25_19220	1DFA50AFD7E23A3E45CE145A010560C7	599	no	no					
APU25_19225	FC983472006748E0C03FB22F818E7736	521	no	yes	2	1	0	4	GO:0015297,GO:0016020,GO:0042910,GO:0055085
APU25_19230	AF886D64C400E32A71C7E915D06E33D0	744	no	no					
APU25_19235	12851292D23B3C254FCFAF5E4ECA30A0	287	no	yes	1	1	0		
APU25_19240	4BE5C321170CBF9111EDAD5DCFD4C51B	231	no	yes	3	1	0		
APU25_19245	F36CFCE34924323167CB97275664698C	128	no	yes	1	1	0	2	GO:0005634,GO:0006352
APU25_19250	B8E879F9A6C929A988141B4807CBDCDC	326	no	no					
APU25_19255	91C8534BC37F4CB0901C0E7CB4014069	244	no	no					
APU25_19260	23DF29753C8B23C4D06989E463E41BA3	205	no	yes	1	0	0		
APU25_19265	89FF7EEB43633E5797F95A0735FCEC62	1045	no	no					
APU25_19270	BE244B6A9248528244E682A18003FAA0	884	no	no					
APU25_19275	43AF8F8223B297935C186EF41D532F24	79	no	yes	0	0	0		
APU25_19280	A919393F6F89F35CC15868ED713AA15B	142	no	yes	2	1	0	2	GO:0016192,GO:0030008
APU25_19285	9B60AE511499BE84B0A7B2E77C5A9C1C	364	no	yes	4	1	0	1	GO:0016301
APU25_19290	9C01FD66CA9E1D39D77E11560DE6AD18	1165	no	yes	6	2	0	3	GO:0005524,GO:0016887,GO:0140359
APU25_19295	C2CDD1166B7F820E826DC49357D2C9EB	160	no	no					
APU25_19300	11E4B61A426B88D3F73802A03FECF4DB	224	no	no					
APU25_19305	755DAE1AB1194C029CFDD4ED11EA23B7	200	no	yes	2	1	0		
APU25_19310	F579F01C02F2D4BCB88FA1D8A3E52011	528	no	yes	2	1	0	1	GO:0016757
APU25_19315	45590777E13600CCF4DCBA5BF0D5D828	138	no	yes	2	1	0	1	GO:0046872
APU25_19320	ACF1B7BE698DD6AE095962C9A6E12193	207	no	yes	1	1	0		
APU25_19325	8D68CB87536967A1BB181B02AC59821E	449	no	no					
APU25_19330	F6D5EDA7D8ECDC9F6179182046491411	462	no	no					
APU25_19335	DEF789EAA0E612418E746A3A65400023	634	no	no					
APU25_19340	3AAB4271692FE1FA2090234DF8505AA7	871	no	no					
APU25_19345	000A206C89B3D4FFC619EDF5AD120D42	102	no	yes	1	0	0		
APU25_19350	8811D22539C0473EFAA1AF76BB2FACAD	320	yes	no					
APU25_19355	5D8753B2D3CF7CA20AB122395826A035	378	no	yes	5	2	0	1	GO:0005515
APU25_19360	FB17FEE0979E1073D24DF49AD0D970F0	547	no	no					
APU25_19365	71CABC311A131A29C54642D729CCF5D2	290	no	yes	3	1	0	7	GO:0000724,GO:0003677,GO:0005524,GO:0005657,GO:0006281,GO:0033063,GO:0140664
APU25_19370	94D4466971B9605C9B6B013E5F77B38F	233	no	no					
APU25_19375	6446BFEB3684334074F1E10E672B9D06	121	no	yes	3	1	0	2	GO:0005739,GO:0034551
APU25_19380	10C1652333589EA44C95328308AEA0DD	885	yes	no					
APU25_19385	9F6A7890175A7CC96BA704B99A4E791F	378	no	no					
APU25_19390	A2C22AEC768E2D7D1BAE72EA37BE02D6	420	no	yes	4	2	0	1	GO:0046872
APU25_19395	4D5445566096084D10FB83B9C162E8E9	183	no	no					
APU25_19400	F2A739D9654BCFB5A38A33B93DAC3031	688	no	no					
APU25_19405	310FF6E22D87922BF94DCD1A4CC19234	136	no	yes	3	1	0	4	GO:0000786,GO:0003677,GO:0030527,GO:0046982
APU25_19410	74B26D70EF100DD12609F7FFE69DB0B3	103	no	yes	4	1	0	4	GO:0000786,GO:0003677,GO:0030527,GO:0046982
APU25_19415	DAE0E7816DAB73148BF812A309A36104	509	no	yes	4	1	0		
APU25_19420	AAE67B2CE8C5D550E63ADEB771C1EFBB	437	no	yes	7	3	0	1	GO:0005515
APU25_19425	3CBB7FF5C8366A9EB15E7C4AE468BBFD	258	no	no					
APU25_19430	E949EA3DD7A888F440B9E8F528511AA8	84	no	yes	0	0	0		
APU25_19435	ACD8FCA0524E260339F71490923E7B77	732	no	yes	11	4	0	2	GO:0005524,GO:0046872
APU25_19440	1442BC0219770CAD925DF8F839019857	279	no	yes	4	1	0	1	GO:0003824
APU25_19445	E1A2EF54510E5AC6E5F179481CCB9684	430	no	yes	2	1	0		
APU25_19450	81FBE50DEA2692A246C890C2FA54DBA2	551	no	yes	1	1	0	3	GO:0009101,GO:0016020,GO:0016758
APU25_19455	1891BC0101F39AC43923CE5D57DD8EB1	286	no	yes	0	0	0		
APU25_19460	50BA16E9085FE51369ECDDC1646CB1B0	230	no	yes	4	1	0	3	GO:0004298,GO:0005839,GO:0030163
APU25_19465	600205C348E6E7C4E5B44C34600FBA06	202	no	yes	4	1	0	1	GO:0006777
APU25_19470	D1850D7FF6517A84B2B4CB6F9A5A4A6F	1143	no	no					
APU25_19475	30B23C57A7E8BA982BB71EA3BDBE4EDB	223	no	yes	1	1	0	2	GO:0022843,GO:0034765
APU25_19480	769C79AB34D03A27FF1B4F262BBF2CB9	335	no	yes	3	1	0	3	GO:0006629,GO:0016042,GO:0016787
APU25_19485	04EF6CC98BF78320C7484FBDBB70FE40	192	no	yes	4	1	0	4	GO:0003735,GO:0005840,GO:0006412,GO:0019843
APU25_19490	88C138DC9483EA0DDB01A077CCDD536A	1090	no	yes	4	1	0	3	GO:0005509,GO:0016020,GO:0055085
APU25_19495	A73FE20CAA3D2FE7B925845F34F0BE3F	179	no	yes	2	1	0	3	GO:0015078,GO:0015986,GO:0045259
APU25_19500	74F7C9F87F1C25F535610385F9B59C86	83	no	yes	6	1	0	2	GO:0005829,GO:0006777
APU25_19505	55F38FBC8FA9E20E062FDA0E9A5D7D31	165	no	yes	4	1	0	1	GO:0046677
APU25_19510	602449A2D73125D6E31E8106BAF98E1D	395	no	yes	2	1	0	2	GO:0008168,GO:0031167
APU25_19515	73A6FEF3060F8F6EED6B66AE7EFEE35A	326	no	yes	0	0	0		
APU25_19520	7B56B677C03110B80579D8B876339568	253	no	yes	2	1	0		
APU25_19525	29ED7481646047F49971BBE1D1D2D7B3	73	no	yes	0	0	0		
APU25_19530	0C429EA566E207AD8ED2801D4D8C6A8F	825	no	yes	3	2	0	1	GO:0016787
APU25_19535	506F057AFF52FC26925A8219310BF7B0	110	no	yes	0	0	0		
APU25_19540	513B1A6DBE65E52E7838AE38817F11BE	527	no	yes	5	2	0	3	GO:0016020,GO:0022857,GO:0055085
APU25_19545	A95610E8F52145DEF9450E76D1B96345	246	no	yes	0	0	0		
APU25_19550	89173EE1DE758D6CE6D888A24DED7772	42	no	no					
APU25_19555	4CCC5B9AF756376B233D1DBA54D0241A	844	no	yes	6	2	0	3	GO:0004573,GO:0005975,GO:0009311
APU25_19560	3D5434F1701B9E955647A23C33061126	216	no	yes	4	1	0	3	GO:0004798,GO:0005524,GO:0006233
APU25_19565	8676FCCA3925CA057447980F8C1662DD	529	no	no					
APU25_19570	904527BD87552A9A091B246E1149194A	392	no	no					
APU25_19575	C9A689768ECFF1E20936A0CB8693499F	619	no	no					
APU25_19580	C1F496985CC047CB1BFEFEC773B37E0B	434	no	yes	6	1	0	4	GO:0004350,GO:0016491,GO:0050661,GO:0055129
APU25_19585	497062805034C2FC33CB52C58243D466	230	no	yes	3	1	0	2	GO:0006751,GO:0061928
APU25_19590	8D3AFC54D14399A46B4D5F8878B1AC14	980	no	no					
APU25_19595	D1B8432A7D292DEF5B0979BB562FEBFE	517	no	no					
APU25_19600	2D7B8ECD9CA43D6AE604EE1E078C7317	203	no	yes	4	1	0		
APU25_19605	2E37849B432D9E5876D5E6EB96D719BD	293	no	yes	5	1	0	3	GO:0004176,GO:0004252,GO:0006508
APU25_19610	11B4E20E8B97FEC1F8686F52C43B3590	311	no	yes	3	1	0	3	GO:0003723,GO:0006364,GO:0008168
APU25_19615	17D93C2ACAE533C23E5B69E5AEAA9E55	247	no	yes	1	1	0		
APU25_19620	05C90BBDAB67167611D8C7A93B83100A	493	no	no					
APU25_19625	DCE7124C281E083C8D5E1A2E7E90F60F	340	no	no					
APU25_19630	33BFBF382573B5BCF43D40FF91C80C24	114	no	yes	4	1	0	1	GO:0003755
APU25_19635	1FEB558CD76236E7425CCECD5CC4A53B	80	yes	no					
APU25_19640	ED3F199FD7790359CA4FB8D107F47A4E	339	no	yes	1	1	0		
APU25_19645	0449BE320E9D7A25D63BD36AA5CD094F	300	no	yes	2	1	0		
APU25_19650	E19A61FD322AE7EEDDC362AFBCC3E5FC	557	yes	no					
APU25_19655	A669DEC4AB2BA1C93330C71F3AD2D420	223	no	no					
APU25_19660	5225F13ED58490392CCB44D2A5950647	530	no	no					
APU25_19665	2B4499745518B80FA24D9B8F99042E74	301	no	yes	0	0	0		
APU25_19670	6E9CBDCBF16546E9EE522159E814782F	354	no	yes	5	1	0	1	GO:0016791
APU25_19675	5CF6912BF9C51AA88C1219726E42EBD8	866	no	yes	8	2	0	1	GO:0005515
APU25_19680	DFADACCDC951C9AC7FA917B9BDE289D2	419	no	yes	2	1	0		
APU25_19685	36B9BC1619C5B1770F0E36E4DBA3A835	118	no	no					
APU25_19690	189444B92C98B59CCE0338E42A371074	627	no	yes	9	3	0	2	GO:0003924,GO:0005525
APU25_19695	9AB994BE380818325D74110659239022	224	no	yes	4	1	0	3	GO:0008379,GO:0016491,GO:0034599
APU25_19700	70785405282B8A12792F00ADCAD656A2	533	no	yes	2	1	0		
APU25_19705	BCC0F37D59B3AD985F53F2B04696AC2F	228	no	no					
APU25_19710	BF5850CA59428B908D4C7FAF4524C233	1156	no	yes	5	2	0	1	GO:0005085
APU25_19715	FD7E8E8C0EC64FEE58791626042F9E0B	205	no	no					
APU25_19720	CE920C5D9F24CA93AE38A7DA1C04DCE6	1087	no	no					
APU25_19725	F10C004D2A26D6392EC0F8B763BF1F83	117	no	no					
APU25_19730	26684B24169BB01907E9C8F4C7274A89	300	no	yes	3	1	0	2	GO:0005956,GO:0019887
APU25_19735	B0F693257FE2675252845318E24CE93D	2007	no	no					
APU25_19740	AC42DD025695C84FC79BBF4147F53F5E	306	no	yes	4	2	0	2	GO:0005975,GO:0016791
APU25_19745	598D94887A18EF745EF50B8D23C9B82E	200	no	yes	1	1	0	3	GO:0005787,GO:0016020,GO:0051604
APU25_19750	DAD83AA0E1C156ADCC62E69C516D8D10	143	no	no					
APU25_19755	E1968CDCE0414B9AD98DF44537D2C852	242	no	yes	3	1	0	1	GO:0005515
APU25_19760	83011744D60769D941786A457486A280	97	yes	no					
APU25_19765	1B544E92F520C7DD7F746FEAA3933F07	255	no	yes	4	1	0	7	GO:0000172,GO:0001682,GO:0003723,GO:0006396,GO:0008033,GO:0030677,GO:0033204
APU25_19770	2674C3FEB4023F16AE0A1BD41CD3BE62	48	no	no					
APU25_19775	07DB8D963A71CF165C095EAB6AE1C85C	376	no	yes	2	1	0	3	GO:0006355,GO:0008270,GO:0043565
APU25_19780	84FB2EA407DBB830A6A00B7239AF101A	121	no	yes	0	0	0		
APU25_19785	5AC1398ABC1160322F4BB2115708214B	432	no	yes	4	2	0		
APU25_19790	4E465512952DA6DBA3B44BC3B7237E4D	525	no	yes	1	1	0		
APU25_19795	262C57E7526F70A29786D1ECB419D761	512	no	no					
APU25_19800	7348F070C868E9EBD4D9B102CD95D7A8	332	no	yes	6	2	0	6	GO:0000184,GO:0000290,GO:0003723,GO:0016787,GO:0030145,GO:0140933
APU25_19805	1ABA2788002B9449A892FC288C352AB8	232	no	yes	1	1	0		
APU25_19810	4C22687796DD90C5A06ECA378A1E5125	305	no	yes	0	0	0		
APU25_19815	EF31BE12ADA815D41E851E2DA5E872DF	346	no	yes	1	0	0		
APU25_19820	26EE8413500E73D85CE05162461C457D	813	no	yes	5	2	0	3	GO:0005524,GO:0009058,GO:0016881
APU25_19825	DC4FDBEFEFA4898D50FC07289E7C7737	361	no	yes	2	1	0	2	GO:0000340,GO:0003729
APU25_19830	E2F65590137BE31A8EDCAFE62D488EA9	941	no	yes	5	3	0	1	GO:0035091
APU25_19835	CA000AD9BACCD1385D98218C29B505DE	511	no	yes	8	2	0	6	GO:0000166,GO:0004812,GO:0004828,GO:0005524,GO:0006418,GO:0006434
APU25_19840	00B06D0223CF719C2E2B45EA6162F962	451	no	no					
APU25_19845	DD032F9FC0307E67D0B23D74A77E4695	322	yes	no					
APU25_19850	BC5B5D94CE2FA8C73BA8FCCF9655439F	112	no	yes	1	1	0	3	GO:0009523,GO:0015979,GO:0016020
APU25_19855	2849E0B5F1FDB9FEF93CE546DB875E6F	531	no	no					
APU25_19860	94358E5D49935A8F6BB9415372C05923	2413	no	yes	17	7	0	5	GO:0003989,GO:0005524,GO:0006633,GO:0016874,GO:0046872
APU25_19865	3E5A11435743EFDD43E7F7655F779112	338	no	yes	5	2	0	3	GO:0004126,GO:0008270,GO:0016787
APU25_19870	5372E78819BC64AC38A56777C86FFA0C	444	no	no					
APU25_19875	9A4C7673D9ABCBF8E3EA4C8449DA295A	443	no	yes	4	1	0	2	GO:0008270,GO:0016491
APU25_19880	55496B82B35BFD7B98106BDAF52CC936	952	no	no					
APU25_19885	54B16CF5A3D295B71BB365072D85B099	101	no	no					
APU25_19890	89CB660D941FB42689AC6319E9564229	427	no	no					
APU25_19895	4D028B1AE9F50E91841E63CF350BC4C7	399	no	yes	0	0	0		
APU25_19900	88A1730F4F01BE85F4415C6BCA2FABC4	413	no	yes	0	0	0		
APU25_19905	1BCEBBE7635C052E1DA1C3B3D4625450	501	no	yes	4	1	0	2	GO:0004185,GO:0006508
APU25_19910	EDE093A9CA761204482BA179643F7553	269	no	yes	4	2	0	1	GO:0016787
APU25_19915	880EB939882CCC281E669BC53A852C24	1218	no	no					
APU25_19920	94081A82FF78871FB278F82F99173D39	521	no	no					
APU25_19925	B024537444928F5FA58537DB51BCDF57	720	no	yes	3	1	0		
APU25_19930	97945CE02F6460916FD8D5A8C2CDDE21	65	yes	no					
APU25_19935	03C39D5667B9976ABB64B23AC1E5D66C	201	no	no					
APU25_19940	304367398BF1CF32E9F9BE0A8EB17727	517	no	yes	6	1	0	2	GO:0005515,GO:0006364
APU25_19945	55BD3343B23C7A2AF32991DA5017CA76	545	no	no					
APU25_19950	C41B54FFC04E3CC37DB439460510384A	181	no	yes	2	1	0	4	GO:0003723,GO:0003735,GO:0005840,GO:0006412
APU25_19955	8C6349BE7476F22132E50D3EF4F6DB24	770	no	no					
APU25_19960	8CA41124C42C93BAD06A6116232A6FEC	406	no	yes	4	1	0	3	GO:0016301,GO:0016310,GO:0016774
APU25_19965	2A12E73451A1324B606704099A816B6B	452	no	yes	2	1	0		
APU25_19970	0E17B21F4831C4099185F4FCDBDE2718	404	no	yes	6	1	0	1	GO:0005515
APU25_19975	E8D41229ADD30762CD46AAB2FC85516E	164	no	yes	2	1	0	1	GO:0004045
APU25_19980	0781FCECDAA588240F5242364DED6264	384	no	yes	2	1	0	1	GO:0016409
