locus_tag	symbol	product	chromosome	accession	start	end	strand	exons	protein_len	source_locus	subgenome	identity	QC	symbol_source	product_source	dup_pair_id	interpro_family_candidates	interpro_family_unresolved	interpro_domain_all	interpro_structural_only	symbol_rejected	symbol_rejected_reason	eggnog_data_row
APU25_13365		hypothetical protein	6	CM128230.1	1302303	1303702	+	7	196	ACKKBF_B13965	B	1.0000	pass	none	none								TRUE
APU25_13370	BASS2	Bile acid:sodium symporter	6	CM128230.1	1303999	1305838	-	4	408	ACKKBF_B13970	B	1.0000	pass	eggnog	interpro_family								TRUE
APU25_13375		OPI10 family	6	CM128230.1	1307171	1308251	+	4	191	ACKKBF_B13975	B	1.0000	pass	none	interpro_family						LOC104586859	loc_placeholder	TRUE
APU25_13380	GRXS10	Glutaredoxin and Glutaredoxin, eukaryotic/virial domain-containing protein	6	CM128230.1	1308566	1309444	-	4	160	ACKKBG_A13980	tie	1.0000	pass	eggnog	interpro_domain_multi				IPR002109 Glutaredoxin; IPR011899 Glutaredoxin, eukaryotic/virial; IPR014025 Glutaredoxin subgroup				TRUE
APU25_13385	dnj51	hypothetical protein	6	CM128230.1	1309717	1312859	+	6	812	ACKKBF_B13985	B	0.9889	pass	eggnog	none					TRUE			TRUE
APU25_13390	CDKB1	Protein kinase domain-containing protein	6	CM128230.1	1313285	1315399	-	8	334	ACKKBG_A13990	tie	0.9970	no_start_Met	utex250a	interpro_domain				IPR000719 Protein kinase domain				TRUE
APU25_13395		Calcium-dependent Serine/Threonine Protein Kinases	6	CM128230.1	1316506	1319640	+	7	634	ACKKBF_B13995	B	1.0000	pass	none	interpro_family								TRUE
APU25_13400		Beta-catenin-like protein 1, N-terminal domain-containing protein	6	CM128230.1	1320379	1324637	-	11	803	ACKKBF_B14000	B	0.9950	pass	none	interpro_domain				IPR013180 Beta-catenin-like protein 1, N-terminal		LOC107790976	loc_placeholder	TRUE
APU25_13405	ATF1	Glutamine amidotransferase type 2 and Glucosamine-fructose-6-phosphate aminotransferase, isomerising, N-terminal domain-containing protein	6	CM128230.1	1325394	1328246	+	3	789	ACKKBF_B14005	B	0.9937	no_start_Met	utex250a	interpro_domain_multi				IPR017932 Glutamine amidotransferase type 2 domain; IPR047084 Glucosamine-fructose-6-phosphate aminotransferase, isomerising, N-terminal domain; IPR001347 SIS domain; IPR035466 GlmS/AgaS, SIS domain 1; IPR035490 GlmS/FrlB, SIS domain 2				TRUE
APU25_13410	SAT1	hypothetical protein	6	CM128230.1	1328612	1330636	-	6	365	ACKKBF_B14010	B	1.0000	pass	utex250a	none		IPR005881 Serine O-acetyltransferase; IPR053376 Serine acetyltransferase	TRUE					TRUE
APU25_13415	Sat1	Serine acetyltransferase	6	CM128230.1	1331277	1332746	-	3	384	ACKKBG_A14015	tie	1.0000	pass	eggnog	interpro_family								TRUE
APU25_13420		KRR1 interacting protein 1	6	CM128230.1	1333224	1337070	-	12	684	ACKKBF_B14020	B	0.9912	pass	none	interpro_family						11407636	numeric_only	TRUE
APU25_13425	SLC7A6OS	Transcription factor Iwr1 domain-containing protein	6	CM128230.1	1337366	1338796	+	5	319	ACKKBF_B14025	B	0.9906	pass	eggnog	interpro_domain				IPR013883 Transcription factor Iwr1 domain				TRUE
APU25_13430	NTRC1	hypothetical protein	6	CM128230.1	1338970	1340794	-	2	540	ACKKBF_B14030	B	1.0000	pass	utex250a	none		IPR005982 Thioredoxin reductase; IPR050097 Ferredoxin--NADP / Thioredoxin reductase	TRUE					TRUE
APU25_13435	REX3	BRCT and Ribonuclease H-like domain-containing protein	6	CM128230.1	1341089	1343972	+	6	674	ACKKBF_B14035	B	0.9970	pass	eggnog	interpro_domain_multi				IPR001357 BRCT domain; IPR013520 Ribonuclease H-like domain; IPR034922 RNA exonuclease 1-like, exonuclease domain				TRUE
APU25_13440	dnj38	Major facilitator superfamily	6	CM128230.1	1344239	1347003	-	7	528	ACKKBF_B14040	B	0.9962	pass	eggnog	interpro_family	DUP0146							TRUE
APU25_13445	CDJ4	3Fe-4S ferredoxin	6	CM128230.1	1347600	1349030	-	3	341	ACKKBF_B14045	B	1.0000	pass	utex250a	interpro_family	DUP0146							TRUE
APU25_13450		Fanconi anaemia protein FANCD2	6	CM128230.1	1349384	1357223	+	19	1447	ACKKBF_B14055	B	0.9938	pass	none	interpro_family						LOC107956218	loc_placeholder	TRUE
APU25_13455	RPT5	26S Proteasome Regulatory ATPase	6	CM128230.1	1357466	1359541	-	6	429	ACKKBG_A14060	A	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13460	DESI3	PPPDE peptidase domain-containing protein	6	CM128230.1	1360489	1361382	+	3	189	ACKKBG_A14065	tie	1.0000	pass	utex250a	interpro_domain				IPR008580 PPPDE peptidase domain				TRUE
APU25_13465		hypothetical protein	6	CM128230.1	1361726	1363368	-	4	319	ACKKBF_B14070	B	0.9969	pass	none	none					TRUE			TRUE
APU25_13470		hypothetical protein	6	CM128230.1	1364034	1364981	+	3	222	ACKKBG_A14075	tie	1.0000	pass	none	none					TRUE	28945488	numeric_only	TRUE
APU25_13475	ERV1B	Sulfhydryl oxidase ALR/ERV	6	CM128230.1	1365217	1366007	+	3	186	ACKKBF_B14080	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13480	dnj27	DnaJ domain-containing protein	6	CM128230.1	1366216	1367726	-	3	346	ACKKBF_B14085	B	1.0000	pass	eggnog	interpro_domain				IPR001623 DnaJ domain				TRUE
APU25_13485	RRM1	Ribosomal RNA adenine dimethylase	6	CM128230.1	1368088	1369876	+	5	369	ACKKBF_B14090	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13490	CLEB3J9	Haem peroxidase domain-containing protein	6	CM128230.1	1370107	1371991	+	5	355	ACKKBF_B14095	B	0.9972	pass	eggnog	interpro_domain				IPR002016 Haem peroxidase				TRUE
APU25_13495	TPD1	Endonuclease/exonuclease/phosphatase and Threonylcarbamoyl-AMP synthase-like domain-containing protein	6	CM128230.1	1372194	1376292	-	9	904	ACKKBF_B14100	B	0.9989	pass	utex250a	interpro_domain_multi				IPR005135 Endonuclease/exonuclease/phosphatase; IPR006070 Threonylcarbamoyl-AMP synthase-like domain				TRUE
APU25_13500	WNK2	Protein kinase and Serine/threonine-protein kinase OSR1/WNK, CCT domain-containing protein	6	CM128230.1	1377516	1382483	-	6	1286	ACKKBF_B14105	B	0.9922	pass	eggnog	interpro_domain_multi				IPR000719 Protein kinase domain; IPR024678 Serine/threonine-protein kinase OSR1/WNK, CCT domain				TRUE
APU25_13505	MRPL41	Large ribosomal subunit protein mL41	6	CM128230.1	1383061	1383563	+	3	85	ACKKBG_A14110	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13510	COX10	Protohaem IX farnesyltransferase	6	CM128230.1	1384149	1386114	+	4	437	ACKKBF_B14115	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13515	EIF3F	Eukaryotic translation initiation factor 3 subunit F	6	CM128230.1	1386385	1387711	-	3	282	ACKKBG_A14120	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13520	AAA3	ADP/ATP carrier protein, bacterial type	6	CM128230.1	1388148	1391659	-	9	630	ACKKBF_B14125	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13525	ZFWD1	WD repeat-containing protein 86-like	6	CM128230.1	1392096	1394564	+	6	466	ACKKBF_B14130	B	1.0000	pass	eggnog	interpro_family								TRUE
APU25_13530	MRPL11	Ribosomal protein uL11	6	CM128230.1	1394935	1395652	-	2	195	ACKKBF_B14135	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13535		hypothetical protein	6	CM128230.1	1396111	1397846	+	8	236	ACKKBF_B14140	B	1.0000	pass	none	none								FALSE
APU25_13540		hypothetical protein	6	CM128230.1	1398046	1398366	+	1	106	ACKKBF_B40040	B-only	1.0000	pass	none	none								FALSE
APU25_13545	RAD18	SAP domain-containing protein	6	CM128230.1	1401326	1408536	+	9	1774	ACKKBF_B14150	B	0.9966	pass	eggnog	interpro_domain				IPR003034 SAP domain				TRUE
APU25_13550		Transcription factor TFIIB	6	CM128230.1	1408900	1413073	-	9	886	ACKKBF_B14155	B	0.9989	pass	none	interpro_family						LOC107790351	loc_placeholder	TRUE
APU25_13555	UBC2	Ubiquitin-conjugating (UBC), catalytic core domain-containing protein	6	CM128230.1	1414076	1415013	+	4	146	ACKKBG_A14160	tie	1.0000	pass	utex250a	interpro_domain				IPR000608 Ubiquitin-conjugating (UBC), catalytic core domain				TRUE
APU25_13560	SMT1	SAM-dependent methyltransferase SMT-type and Methyltransferase type 11 domain-containing protein	6	CM128230.1	1415419	1417556	-	5	419	ACKKBF_B14165	B	1.0000	pass	utex250a	interpro_domain_multi				IPR030384 SAM-dependent methyltransferase SMT-type; IPR013216 Methyltransferase type 11; IPR013705 Sterol methyltransferase C-terminal				TRUE
APU25_13565		hypothetical protein	6	CM128230.1	1417927	1418733	+	2	231	ACKKBF_B14170	B	0.9654	no_start_Met	none	none					TRUE			FALSE
APU25_13570	STT3	Oligosaccharyl transferase, STT3 subunit	6	CM128230.1	1419057	1424797	+	14	801	ACKKBF_B14175	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13575	CIS2	Citrate synthase	6	CM128230.1	1425831	1428201	-	5	508	ACKKBF_B14180	B	0.9980	pass	utex250a	interpro_family								TRUE
APU25_13580	RIPK2	Serine/Threonine Kinases and Pseudokinases	6	CM128230.1	1429228	1431576	-	6	377	ACKKBG_A14185	A	0.9867	pass	eggnog	interpro_family								TRUE
APU25_13585	WDR26	WD repeat-containing signal transduction regulator	6	CM128230.1	1431900	1434130	-	3	567	ACKKBF_B14190	B	1.0000	pass	eggnog	interpro_family								TRUE
APU25_13590	FHY1	HAD hydrolase, subfamily IA	6	CM128230.1	1434442	1435673	+	4	247	ACKKBF_B14195	B	0.9960	pass	eggnog	interpro_family								TRUE
APU25_13595	ARFB1	Peptide chain release factor class I domain-containing protein	6	CM128230.1	1435763	1436751	-	4	201	ACKKBF_B14200	B	0.9900	pass	utex250a	interpro_domain				IPR000352 Peptide chain release factor class I				TRUE
APU25_13600		Importin beta-like nuclear transport receptors	6	CM128230.1	1437098	1441112	+	5	1005	ACKKBF_B14210	B	0.9970	pass	none	interpro_family	DUP0147					LOC107821200	loc_placeholder	TRUE
APU25_13605	TIE1	tRNA intron endonuclease, catalytic domain-like domain-containing protein	6	CM128230.1	1441574	1442802	+	4	256	ACKKBF_B14215	B	0.9961	pass	utex250a	interpro_domain	DUP0147			IPR006677 tRNA intron endonuclease, catalytic domain-like				TRUE
APU25_13610		Lysoplasmalogenase-like	6	CM128230.1	1443102	1443767	+	1	221	ACKKBF_B14220	B	0.9955	pass	none	interpro_family								TRUE
APU25_13615	RTNLB2	Reticulon-like	6	CM128230.1	1444296	1445655	-	4	224	ACKKBF_B14225	B	1.0000	pass	eggnog	interpro_family								TRUE
APU25_13620		hypothetical protein	6	CM128230.1	1446006	1447597	+	6	284	ACKKBF_B14230	B	0.9965	pass	none	none					TRUE			TRUE
APU25_13625	DGD1	hypothetical protein	6	CM128230.1	1447840	1450697	+	3	775	ACKKBF_B14235	B	0.9987	pass	utex250a	none								TRUE
APU25_13630	HSP70E	Heat shock protein 70 family	6	CM128230.1	1451433	1455794	+	8	818	ACKKBF_B14240	B	0.9988	pass	utex250a	interpro_family								TRUE
APU25_13635		Small ribosomal subunit protein bS21	6	CM128230.1	1456141	1456503	-	1	121	ACKKBG_A14245	tie	0.9917	pass	none	interpro_family								TRUE
APU25_13640	AMB1	Glycoside hydrolase, family 14	6	CM128230.1	1456926	1459162	+	5	498	ACKKBF_B14250	B	0.9900	pass	utex250a	interpro_family								TRUE
APU25_13645		hypothetical protein	6	CM128230.1	1459812	1461818	+	4	521	ACKKBF_B14255	B	0.9923	pass	none	none					TRUE			TRUE
APU25_13650		Domain of unknown function DUF4460 and Domain of unknown function DUF4461 domain-containing protein	6	CM128230.1	1462090	1463898	+	3	493	ACKKBG_A14260	A	0.9980	pass	none	interpro_domain_multi				IPR028031 Domain of unknown function DUF4460; IPR027989 Domain of unknown function DUF4461		LOC112293727	loc_placeholder	TRUE
APU25_13655	RPPK1	Ribose-phosphate pyrophosphokinase	6	CM128230.1	1464400	1465894	-	3	425	ACKKBF_B14265	B	0.9976	pass	utex250a	interpro_family								TRUE
APU25_13660		hypothetical protein	6	CM128230.1	1466185	1469804	+	7	850	ACKKBF_B14270	B	0.9906	pass	none	none								TRUE
APU25_13665	NEP1	Ribosomal biogenesis, methyltransferase, EMG1/NEP1	6	CM128230.1	1470162	1471309	-	3	229	ACKKBG_A14275	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13670		Disease resistance R13L4/SHOC-2-like, LRR domain-containing protein	6	CM128230.1	1472052	1474484	+	5	592	ACKKBF_B14280	B	0.9949	pass	none	interpro_domain				IPR055414 Disease resistance R13L4/SHOC-2-like, LRR domain				TRUE
APU25_13675	UBP13	MATH/TRAF domain-containing protein	6	CM128230.1	1474887	1483011	+	9	2171	ACKKBF_B14285	B	0.9722	internal_stop,frameshift	eggnog	interpro_domain				IPR002083 MATH/TRAF domain				TRUE
APU25_13680	ArfB-1	hypothetical protein	6	CM128230.1	1483269	1484671	-	6	274	ACKKBF_B14290	B	0.9927	pass	eggnog	none								TRUE
APU25_13685	CGL49	Small GTPase superfamily, ARF/SAR type	6	CM128230.1	1485218	1486333	-	5	182	ACKKBG_A14295	tie	0.9945	pass	utex250a	interpro_family								TRUE
APU25_13690	CPN20	GroES chaperonin family	6	CM128230.1	1486731	1487903	+	4	230	ACKKBF_B14300	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13695	PPOX1	Pyridoxamine 5'-phosphate oxidase	6	CM128230.1	1488329	1490225	-	2	563	ACKKBG_A14305	A	0.9787	pass	eggnog	interpro_family								TRUE
APU25_13700	rsc5	Phosphatidylinositol Transfer CRAL-TRIO Domain-Containing Protein	6	CM128230.1	1491053	1492669	+	3	335	ACKKBF_B14310	B	1.0000	pass	eggnog	interpro_family								TRUE
APU25_13705		hypothetical protein	6	CM128230.1	1493062	1495557	-	5	530	ACKKBF_B14315	B	0.9925	pass	none	none					TRUE			TRUE
APU25_13710		Transcriptional regulator TACO1-like	6	CM128230.1	1496309	1497595	+	4	240	ACKKBF_B14320	B	1.0000	pass	none	interpro_family						LOC102592508	loc_placeholder	TRUE
APU25_13715		Ubiquitin-like domain-containing protein	6	CM128230.1	1497934	1498375	-	2	113	ACKKBG_A14325	tie	0.9912	no_start_Met	none	interpro_domain				IPR000626 Ubiquitin-like domain				TRUE
APU25_13720	PMP22	Mpv17/PMP22	6	CM128230.1	1498737	1500263	-	6	219	ACKKBF_B14330	B	1.0000	pass	eggnog	interpro_family								TRUE
APU25_13725	PPP3R1	EF-hand domain-containing protein	6	CM128230.1	1500684	1501364	+	2	163	ACKKBG_A14335	A	0.9939	pass	eggnog	interpro_domain				IPR002048 EF-hand domain				TRUE
APU25_13730	MOS4	Pre-mRNA-splicing factor SPF27	6	CM128230.1	1501968	1502993	+	4	239	ACKKBG_A14340	A	0.9916	pass	eggnog	interpro_family								TRUE
APU25_13735	rabG	hypothetical protein	6	CM128230.1	1503245	1504402	-	3	273	ACKKBF_B14345	B	1.0000	pass	eggnog	none	DUP0148							TRUE
APU25_13740	RAB7	Small GTPase	6	CM128230.1	1504836	1506139	-	5	206	ACKKBG_A14350	tie	1.0000	pass	utex250a	interpro_family	DUP0148							TRUE
APU25_13745		hypothetical protein	6	CM128230.1	1506643	1510652	-	7	924	ACKKBF_B14355	B	0.9957	pass	none	none								TRUE
APU25_13750	XPF1	ERCC4 and DNA repair endonuclease XPF, nuclease domain-containing protein	6	CM128230.1	1511025	1515604	-	9	1003	ACKKBF_B14365	B	0.9980	pass	utex250a	interpro_domain_multi				IPR006166 ERCC4 domain; IPR047520 DNA repair endonuclease XPF, nuclease domain				TRUE
APU25_13755	COQ2	4-hydroxybenzoate polyprenyltransferase-like	6	CM128230.1	1516021	1518047	+	4	423	ACKKBF_B14370	B	1.0000	pass	utex250a	interpro_family	DUP0149							TRUE
APU25_13760	COQ2	4-hydroxybenzoate polyprenyltransferase-like	6	CM128230.1	1518523	1520376	+	5	388	ACKKBF_B14375	B	1.0000	pass	eggnog	interpro_family	DUP0149							TRUE
APU25_13765	CCPP5	Protein Phosphatase PPP	6	CM128230.1	1521002	1523860	-	8	496	ACKKBF_B14380	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13770		Fyv10 family	6	CM128230.1	1524865	1527137	-	7	396	ACKKBF_B14385	B	1.0000	pass	none	interpro_family						LOC105851907	loc_placeholder	TRUE
APU25_13775	EMP70	Nonaspanin (TM9SF)	6	CM128230.1	1527622	1531038	+	8	678	ACKKBF_B14390	B	0.9985	pass	utex250a	interpro_family								TRUE
APU25_13780		hypothetical protein	6	CM128230.1	1531591	1543446	-	2	1787	ACKKBG_A14410	A-only	0.6905	internal_stop,frameshift	none	none								FALSE
APU25_13785		hypothetical protein	6	CM128230.1	1546183	1547957	-	4	380	ACKKBF_B14420	B	0.9947	pass	none	none								TRUE
APU25_13790	COX15	COX15/CtaA family	6	CM128230.1	1548258	1549888	+	2	496	ACKKBG_A14425	tie	0.9919	pass	utex250a	interpro_family	DUP0150							TRUE
APU25_13795	psbx	Ubiquitin-associated domain-containing protein	6	CM128230.1	1550437	1552556	+	6	334	ACKKBF_B14430	B	1.0000	pass	eggnog	interpro_domain	DUP0150			IPR015940 Ubiquitin-associated domain				TRUE
APU25_13800		Protein of unknown function DUF3172	6	CM128230.1	1552825	1554027	-	3	269	ACKKBF_B14435	B	1.0000	pass	none	interpro_family						LOC112273544	loc_placeholder	TRUE
APU25_13805	NUP62	Nucleoporin NSP1/NUP62	6	CM128230.1	1554331	1557423	+	8	615	ACKKBF_B14440	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13810		hypothetical protein	6	CM128230.1	1557758	1558726	+	3	229	ACKKBG_A14445	tie	1.0000	pass	none	none								TRUE
APU25_13815	RPL32	Large ribosomal subunit protein eL32	6	CM128230.1	1558970	1560602	-	6	227	ACKKBG_A14450	A	0.9736	pass	utex250a	interpro_family								TRUE
APU25_13820		ING family	6	CM128230.1	1560928	1563350	+	7	363	ACKKBG_A14455	A	0.9945	pass	none	interpro_family								TRUE
APU25_13825	DZIP1	Cilium assembly protein DZIP1, N-terminal domain-containing protein	6	CM128230.1	1563729	1566615	-	6	693	ACKKBG_A14460	A	0.9625	no_start_Met	eggnog	interpro_domain				IPR032714 Cilium assembly protein DZIP1, N-terminal				TRUE
APU25_13830	RBBP8	DNA endonuclease activator Ctp1, C-terminal domain-containing protein	6	CM128230.1	1567384	1569148	+	3	502	ACKKBF_B14465	B	0.9382	pass	eggnog	interpro_domain				IPR013882 DNA endonuclease activator Ctp1, C-terminal				TRUE
APU25_13835	LIPB1	Octanoyltransferase	6	CM128230.1	1569366	1570442	-	3	238	ACKKBF_B14470	B	0.9958	pass	utex250a	interpro_family								TRUE
APU25_13840	PDCD2L	Programmed cell death protein 2, C-terminal domain-containing protein	6	CM128230.1	1570818	1572353	+	3	404	ACKKBF_B14475	B	0.9901	pass	eggnog	interpro_domain				IPR007320 Programmed cell death protein 2, C-terminal				TRUE
APU25_13845	PSAD1	Photosystem I PsaD	6	CM128230.1	1581600	1582864	+	4	217	ACKKBG_A14480	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13850	VPS4	Microtubule-severing AAA ATPase	6	CM128230.1	1583324	1586094	-	8	437	ACKKBG_A14485	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13855	DAW1	PLAA family ubiquitin binding and PUL domain-containing protein	6	CM128230.1	1586509	1590496	+	10	789	ACKKBF_B14490	B	0.9949	pass	eggnog	interpro_domain_multi				IPR015155 PLAA family ubiquitin binding domain; IPR013535 PUL domain				TRUE
APU25_13860	RIDA	RidA family	6	CM128230.1	1590902	1591465	-	2	130	ACKKBG_A14495	tie	0.9692	no_start_Met	eggnog	interpro_family								TRUE
APU25_13865	IPB1	Importin beta family	6	CM128230.1	1592012	1595822	+	7	876	ACKKBF_B14500	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13870		hypothetical protein	6	CM128230.1	1596452	1598697	-	5	492	ACKKBF_B14505	B	0.9980	pass	none	none								TRUE
APU25_13875		Nucleotide-diphospho-sugar transferase domain-containing protein	6	CM128230.1	1600689	1602667	+	4	481	ACKKBF_B14510	B	1.0000	pass	none	interpro_domain				IPR005069 Nucleotide-diphospho-sugar transferase				TRUE
APU25_13880		UDP-D-xylose:L-fucose alpha-1,3-D-xylosyltransferase	6	CM128230.1	1603780	1606173	+	6	489	ACKKBF_B14515	B	0.9980	pass	none	interpro_family								TRUE
APU25_13885	AVT1	Amino acid transporter, transmembrane domain-containing protein	6	CM128230.1	1606351	1609081	-	7	518	ACKKBF_B14520	B	0.9942	pass	eggnog	interpro_domain				IPR013057 Amino acid transporter, transmembrane domain				TRUE
APU25_13890		Ankyrin repeat domain-containing protein 13, C-terminal domain-containing protein	6	CM128230.1	1609712	1613136	+	10	531	ACKKBF_B14525	B	0.9981	pass	none	interpro_domain				IPR055285 Ankyrin repeat domain-containing protein 13, C-terminal		LOC112295796	loc_placeholder	TRUE
APU25_13895	zfs1	Zinc finger, CCCH-type domain-containing protein	6	CM128230.1	1613594	1615383	+	5	393	ACKKBG_A14530	A	0.9491	internal_stop,frameshift	eggnog	interpro_domain				IPR000571 Zinc finger, CCCH-type				TRUE
APU25_13900	CGLD16	hypothetical protein	6	CM128230.1	1615956	1616691	-	4	121	ACKKBG_A14535	tie	0.9917	pass	utex250a	none								TRUE
APU25_13905	MRPL30	Large ribosomal subunit protein uL30, bacteria	6	CM128230.1	1616938	1617311	+	2	89	ACKKBG_A14540	tie	0.9888	pass	utex250a	interpro_family								TRUE
APU25_13910	NRPD4	DNA-directed RNA polymerase II subunit Rpb4-like	6	CM128230.1	1617508	1618316	-	4	129	ACKKBG_A14545	tie	1.0000	pass	eggnog	interpro_family								TRUE
APU25_13915	ARP	AP endonuclease 1	6	CM128230.1	1618952	1621093	+	8	372	ACKKBF_B14550	B	1.0000	pass	eggnog	interpro_family	DUP0151							TRUE
APU25_13920	ARP	hypothetical protein	6	CM128230.1	1621379	1623827	+	11	392	ACKKBF_B14555	B	0.9898	pass	eggnog	none	DUP0151							TRUE
APU25_13925	ARP	Peptidase M20	6	CM128230.1	1623962	1626512	+	6	502	ACKKBF_B14560	B	0.9900	pass	eggnog	interpro_family	DUP0151							TRUE
APU25_13930		hypothetical protein	6	CM128230.1	1626788	1627490	-	3	142	ACKKBF_B14565	B	0.9930	pass	none	none								FALSE
APU25_13935		Protein of unknown function PDDEXK-like	6	CM128230.1	1629530	1630968	+	2	408	ACKKBF_B14570	B	0.9975	pass	none	interpro_family						LOC107817359	loc_placeholder	TRUE
APU25_13940	CPL3	Calcineurin-like, phosphoesterase domain-containing protein	6	CM128230.1	1631999	1634343	-	4	449	ACKKBF_B14575	B	0.9978	pass	utex250a	interpro_domain				IPR004843 Calcineurin-like, phosphoesterase domain				TRUE
APU25_13945		Mitochondrial protein C2orf69	6	CM128230.1	1634800	1636182	+	4	291	ACKKBF_B14580	B	0.9966	pass	none	interpro_family						LOC107920083	loc_placeholder	TRUE
APU25_13950	CYP745A1	Cytochrome P450	6	CM128230.1	1636435	1638517	-	3	505	ACKKBF_B14585	B	0.9960	pass	utex250a	interpro_family								TRUE
APU25_13955	TRS31	TRAPP I complex, subunit 5	6	CM128230.1	1639090	1640203	+	5	193	ACKKBG_A14590	tie	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13960	rpl23A	hypothetical protein	6	CM128230.1	1640374	1643331	+	4	753	ACKKBF_B14595	B	0.9907	pass	eggnog	none	DUP0152							TRUE
APU25_13965	RPL23A	Large ribosomal subunit protein uL23-like	6	CM128230.1	1643840	1644538	+	2	143	ACKKBG_A14600	tie	0.9790	no_start_Met	utex250a	interpro_family	DUP0152							TRUE
APU25_13970		Histone H4	6	CM128230.1	1644882	1645970	+	3	290	ACKKBF_B14605	B	0.9966	pass	none	interpro_family								TRUE
APU25_13975	EZY20A	hypothetical protein	6	CM128230.1	1646672	1649013	-	6	499	ACKKBF_B14610	B	0.9980	pass	utex250a	none								TRUE
APU25_13980	CMP1	Carbamoyl-phosphate synthase, large subunit	6	CM128230.1	1649838	1654336	-	7	1173	ACKKBF_B14615	B	1.0000	pass	utex250a	interpro_family								TRUE
APU25_13985	DPH5	Diphthine synthase	6	CM128230.1	1654615	1656234	+	7	268	ACKKBF_B14620	B	1.0000	pass	eggnog	interpro_family								TRUE
APU25_13990	SLU7	Pre-mRNA-splicing factor SLU7	6	CM128230.1	1656554	1659740	+	9	547	ACKKBF_B14625	B	1.0000	pass	eggnog	interpro_family								TRUE
APU25_13995		Centrosome-associated WD domain-containing protein	6	CM128230.1	1659969	1662267	-	5	479	ACKKBF_B14630	B	1.0000	pass	none	interpro_family						LOC123052317	loc_placeholder	TRUE
APU25_14000	ZUFSP	UFSP1/2/DUB, catalytic and Zinc finger, ZZ-type domain-containing protein	6	CM128230.1	1662873	1664365	+	4	335	ACKKBF_B14635	B	1.0000	pass	eggnog	interpro_domain_multi				IPR012462 UFSP1/2/DUB, catalytic domain; IPR000433 Zinc finger, ZZ-type				TRUE
APU25_14005	AP2	AP2/ERF domain-containing protein	6	CM128230.1	1665076	1667176	+	5	423	ACKKBF_B14640	B	0.9645	pass	eggnog	interpro_domain				IPR001471 AP2/ERF domain				TRUE
APU25_14010		hypothetical protein	6	CM128230.1	1667855	1669213	-	5	271	ACKKBF_B14645	B	0.9926	pass	none	none								FALSE
APU25_14015	SCPL49	Putative pre-16S rRNA nuclease	6	CM128230.1	1669598	1670514	-	4	167	ACKKBF_B14650	B	0.9880	pass	eggnog	interpro_family								TRUE
APU25_14020		Zinc finger, RING-type domain-containing protein	6	CM128230.1	1670919	1673411	+	4	604	ACKKBF_B14655	B	0.9967	pass	none	interpro_domain				IPR001841 Zinc finger, RING-type				TRUE
APU25_14025	ATG9	Antibiotic biosynthesis monooxygenase domain-containing protein	6	CM128230.1	1673738	1674418	-	3	139	ACKKBF_B14660	B	0.9856	pass	eggnog	interpro_domain	DUP0153			IPR007138 Antibiotic biosynthesis monooxygenase domain				TRUE
APU25_14030	ATG9	Autophagy-related protein 9	6	CM128230.1	1674762	1679008	-	15	692	ACKKBF_B14665	B	1.0000	pass	utex250a	interpro_family	DUP0153							TRUE
APU25_14035	PRP17	hypothetical protein	6	CM128230.1	1680441	1684273	-	13	548	ACKKBF_B14670	B	0.9964	pass	utex250a	none					TRUE			TRUE
APU25_14040		TauD/TfdA-like domain-containing protein	6	CM128230.1	1684553	1685955	+	5	275	ACKKBF_B14675	B	0.9964	pass	none	interpro_domain				IPR003819 TauD/TfdA-like domain				TRUE
APU25_14045		AAA+ ATPase and ATPase, AAA-type, core domain-containing protein	6	CM128230.1	1686320	1692116	-	15	1195	ACKKBF_B14680	B	0.9950	internal_stop	none	interpro_domain_multi				IPR003593 AAA+ ATPase domain; IPR003959 ATPase, AAA-type, core; IPR041569 AAA ATPase, AAA+ lid domain; IPR001487 Bromodomain		LOC123122179	loc_placeholder	TRUE
APU25_14050		hypothetical protein	6	CM128230.1	1693385	1695325	+	8	400	ACKKBF_B39995	B-only	0.9925	pass	none	none					TRUE			TRUE
APU25_14055		hypothetical protein	6	CM128230.1	1700502	1706411	+	13	1293	ACKKBF_B39555	B-only	0.9961	pass	none	none								FALSE
APU25_14060		hypothetical protein	7	CM128231.1	14455	14793	+	1	112	ACKKBG_A30350	A-only	1.0000	pass	none	none								FALSE
