locus_tag	source	interpro_accessions	pfam_accessions	ncbifam	prosite	smart	cdd	superfamily	n_domains	interpro_accessions_other_libs
APU25_21950	ips6_local	IPR002699	PF01813	TIGR00309					2	
APU25_21955	ips6_local	IPR056535,IPR059141	PF11715,PF23354						2	
APU25_21960	ips6_local	IPR003593,IPR003959,IPR003960,IPR027417,IPR041569	PF00004,PF17862		PS00674	SM00382		SSF52540	5	
APU25_21965	matches_api	IPR009038	PF01105		PS50866	SM01190			3	IPR015720
APU25_21970	ips6_local	IPR006073,IPR014813,IPR027417,IPR030378	PF01926,PF08701		PS51721		cd04178	SSF52540	5	
APU25_21975	matches_api	IPR013057	PF01490						1	
APU25_21980	matches_api	IPR002562,IPR012337,IPR013087	PF01612		PS00028,PS50157		cd06141	SSF53098	5	IPR036397,IPR051132
APU25_21985	matches_api	IPR005282,IPR006603	PF04193	TIGR00951		SM00679			3	
APU25_21990	ips6_local	IPR003495,IPR011629,IPR027417	PF02492,PF07683				cd03112	SSF52540,SSF90002	5	
APU25_21995	matches_api		PF08700						1	IPR014812
APU25_22000	matches_api							SSF58113	1	
APU25_22005	ips6_local	IPR000504,IPR035979	PF00076		PS50102	SM00360	cd00590	SSF54928	5	
APU25_22010	ips6_local								0	
APU25_22015	ips6_local	IPR000222,IPR001932,IPR036457	PF00481		PS01032,PS51746	SM00331,SM00332	cd00143	SSF81606	7	
APU25_22020	ips6_local								0	
APU25_22025	matches_api	IPR000626,IPR001975,IPR011332,IPR019954,IPR029071	PF00240,PF01020		PS00299,PS50053	SM00213,SM01377	cd01803	SSF54236,SSF57829	9	IPR019956,IPR038587,IPR050158
APU25_22030	matches_api	IPR002687,IPR012974,IPR012976,IPR036070	PF01798,PF08156		PS51358	SM00931		SSF89124	5	IPR042239,IPR045056
APU25_22035	ips6_local	IPR027417,IPR030386,IPR046758	PF05879,PF20428		PS51715			SSF52540	4	
APU25_22040	ips6_local	IPR001752,IPR019821,IPR027417	PF00225		PS00411,PS50067	SM00129		SSF52540,SSF57997	6	
APU25_22045	ips6_local	IPR007816	PF05140						1	
APU25_22050	ips6_local	IPR014840	PF08729						1	
APU25_22055	ips6_local								0	
APU25_22060	matches_api	IPR001680,IPR001878,IPR036322,IPR036875	PF00400		PS50082,PS50158,PS50294	SM00320		SSF50978,SSF57756	7	IPR015943,IPR033312
APU25_22065	ips6_local	IPR003111,IPR003593,IPR003959,IPR008268,IPR008269,IPR015947,IPR020568,IPR027417,IPR054594	PF00004,PF02190,PF05362,PF22667		PS01046,PS51786,PS51787	SM00382,SM00464	cd19500	SSF52540,SSF54211,SSF88697	13	
APU25_22070	matches_api	IPR000271	PF00468	TIGR01030					2	
APU25_22075	ips6_local	IPR001533,IPR036428	PF01329				cd00913	SSF55248	3	
APU25_22080	ips6_local								0	
APU25_22085	ips6_local	IPR029164	PF15159						1	
APU25_22090	matches_api								0	IPR039993
APU25_22095	ips6_local								0	
APU25_22100	matches_api	IPR000504,IPR035979	PF00076		PS50102	SM00360	cd00590	SSF54928	5	IPR012677,IPR050907
APU25_22105	ips6_local							SSF52047	1	
APU25_22110	ips6_local	IPR001841	PF13639		PS50089	SM00184		SSF57850	4	
APU25_22115	ips6_local	IPR007828	PF05153					SSF109604	2	
APU25_22120	ips6_local	IPR001509,IPR036291	PF01370				cd05265	SSF51735	3	
APU25_22125	matches_api	IPR003107,IPR011990,IPR019734,IPR055430	PF23231			SM00028,SM00386		SSF48452	4	IPR044624
APU25_22130	ips6_local	IPR055427,IPR055429	PF06159,PF23647						2	
APU25_22135	ips6_local	IPR025718,IPR057649	PF13867,PF23112						2	
APU25_22140	ips6_local	IPR000794,IPR014030,IPR014031,IPR016039,IPR018201,IPR020841	PF00109,PF02801	NF005589	PS00606,PS52004	SM00825	cd00834	SSF53901	8	
APU25_22145	matches_api	IPR004908,IPR011987,IPR016024	PF03224,PF11698					SSF48371	3	IPR011989,IPR038497
APU25_22150	ips6_local	IPR000504,IPR035979	PF00076		PS50102	SM00360		SSF54928	4	
APU25_22155	ips6_local	IPR007474,IPR018958,IPR036047,IPR036767,IPR037883	PF04379,PF09346		PS51087	SM00860		SSF110069,SSF160631,SSF81383	7	
APU25_22160	ips6_local	IPR000873,IPR011904,IPR025110,IPR032387	PF00501,PF13193,PF16177	NF001208,TIGR02188			cd05966	SSF56801	7	
APU25_22165	ips6_local	IPR009269	PF06047						1	
APU25_22170	ips6_local	IPR002048,IPR011992,IPR018247			PS00018,PS50222			SSF47473	3	
APU25_22175	matches_api	IPR001841,IPR003111,IPR015947,IPR017907	PF02190,PF13923		PS00518,PS50089,PS51787	SM00184,SM00464	cd16514	SSF57850,SSF88697	10	IPR013083,IPR046336
APU25_22180	matches_api								0	
APU25_22185	ips6_local								0	
APU25_22190	ips6_local								0	
APU25_22195	matches_api	IPR001932,IPR036457	PF00481		PS51746	SM00331,SM00332	cd00143	SSF81606	6	IPR015655
APU25_22200	matches_api	IPR010776,IPR040661	PF07106,PF18517						2	IPR036388
APU25_22205	matches_api	IPR001164,IPR037278	PF01412		PS50115	SM00105	cd08831	SSF57863	5	IPR038508
APU25_22210	ips6_local	IPR001126,IPR017961,IPR036775,IPR043502	PF00817,PF11799,PF21704		PS50173			SSF100879,SSF56672	6	
APU25_22215	ips6_local	IPR001932,IPR036457	PF00481		PS51746	SM00332		SSF81606	4	
APU25_22220	ips6_local	IPR001884,IPR008991,IPR012340,IPR019769,IPR020189,IPR048670	PF01287,PF21485	TIGR00037	PS00302	SM01376	cd04468	SSF50104,SSF50249	8	
APU25_22225	matches_api	IPR021852	PF11938						1	
APU25_22230	ips6_local	IPR025151	PF13934						1	
APU25_22235	matches_api	IPR005491,IPR036142	PF03735		PS51138	SM01191		SSF158639	4	IPR033485
APU25_22240	ips6_local	IPR031610	PF16940						1	
APU25_22245	ips6_local								0	
APU25_22250	ips6_local	IPR036034,IPR040815,IPR041489	PF17820,PF18265					SSF50156	3	
APU25_22255	ips6_local	IPR036047						SSF81383	1	
APU25_22260	ips6_local	IPR002048,IPR011992,IPR018247	PF13499		PS00018,PS50222	SM00054	cd00051	SSF47473	6	
APU25_22265	ips6_local	IPR048538,IPR048540	PF20644,PF20645						2	
APU25_22270	matches_api	IPR007157	PF04012						1	
APU25_22275	ips6_local	IPR006447,IPR009057		TIGR01557				SSF46689	2	
APU25_22280	ips6_local	IPR001907,IPR023562,IPR029045	PF00574				cd07017	SSF52096	3	
APU25_22285	ips6_local	IPR001063,IPR005727,IPR018260,IPR036394	PF00237	TIGR01044	PS00464		cd00336	SSF54843	5	
APU25_22290	ips6_local	IPR000819,IPR011356,IPR048816,IPR064115	PF00883,PF21337		PS00631		cd00433	SSF53187	5	
APU25_22295	ips6_local								0	
APU25_22300	ips6_local	IPR003439,IPR003593,IPR013525,IPR017871,IPR027417	PF00005,PF12698,PF24526		PS00211,PS50893	SM00382	cd03263	SSF52540	8	
APU25_22305	matches_api								0	
APU25_22310	ips6_local								0	
APU25_22315	ips6_local	IPR000408,IPR009091,IPR058923	PF25390		PS00626,PS50012			SSF50985	4	
APU25_22320	ips6_local	IPR001965,IPR011011,IPR019786,IPR019787,IPR045876	PF00628		PS01359,PS50016	SM00249	cd15504	SSF57903	6	
APU25_22325	ips6_local	IPR000504,IPR021790,IPR035979	PF00076,PF11835		PS50102	SM00360		SSF54928	5	
APU25_22330	matches_api	IPR019587	PF10604				cd07812	SSF55961	3	IPR023393
APU25_22335	ips6_local	IPR001841,IPR004331,IPR017907,IPR027370	PF13445		PS00518,PS50089,PS51382	SM00184	cd14447	SSF57850	7	
APU25_22340	ips6_local								0	
APU25_22345	matches_api	IPR006603	PF04193						1	
APU25_22350	ips6_local	IPR006603	PF04193						1	
APU25_22355	ips6_local	IPR006380,IPR036412	PF05116					SSF56784	2	
APU25_22360	ips6_local	IPR007242,IPR007275,IPR029071	PF04110,PF04146		PS50882		cd01612,cd21134	SSF54236	6	
APU25_22365	ips6_local	IPR001650,IPR002464,IPR007502,IPR011709,IPR014001,IPR027417,IPR048333	PF00271,PF04408,PF07717,PF21010		PS00690,PS51192,PS51194	SM00487,SM00490,SM00847	cd18791	SSF52540	12	
APU25_22370	matches_api	IPR001388,IPR010908,IPR011012,IPR042855	PF00957,PF13774		PS00417,PS50859,PS50892	SM01270	cd14824,cd15843	SSF58038,SSF64356	10	IPR051097
APU25_22375	matches_api	IPR000194,IPR003593,IPR004100,IPR005722,IPR020003,IPR027417,IPR036121,IPR055190	PF00006,PF02874,PF22919	TIGR01039	PS00152	SM00382	cd01133,cd18110,cd18115	SSF47917,SSF50615,SSF52540	12	IPR024034,IPR050053
APU25_22380	ips6_local	IPR002194,IPR002423,IPR012720,IPR027409,IPR027410,IPR027413,IPR054827	PF00118	NF041082,NF041083,TIGR02345	PS00750,PS00751,PS00995		cd03340	SSF48592,SSF52029,SSF54849	11	
APU25_22385	ips6_local	IPR000271	PF00468	TIGR01030					2	
APU25_22390	ips6_local	IPR001731,IPR030656	PF00490	NF006762	PS00169	SM01004	cd04823	SSF51569	6	
APU25_22395	ips6_local						cd23659	SSF52402	2	
APU25_22400	ips6_local								0	
APU25_22405	ips6_local	IPR000152,IPR000742,IPR001547,IPR003609,IPR017853	PF00024,PF26410		PS00010,PS01186,PS50026			SSF51445,SSF57196	7	
APU25_22410	matches_api	IPR003010,IPR036526,IPR045254	PF00795		PS50263		cd07572	SSF56317	4	
APU25_22415	ips6_local								0	
APU25_22420	matches_api	IPR001471,IPR016177			PS51032	SM00380	cd00018	SSF54171	4	IPR036955
APU25_22425	ips6_local								0	
APU25_22430	matches_api	IPR001611,IPR003591	PF00560,PF13855		PS51450	SM00364,SM00369		SSF52058	6	IPR032675,IPR050216
APU25_22435	ips6_local	IPR000592,IPR011332	PF01667					SSF57829	2	
APU25_22440	matches_api	IPR003323,IPR019400,IPR038765	PF10275		PS50802			SSF54001	3	IPR042467,IPR042468
APU25_22445	ips6_local	IPR001525,IPR011011,IPR029063	PF00145	TIGR00675	PS51679		cd15489,cd20404	SSF53335,SSF57903,SSF63748	8	
APU25_22450	ips6_local	IPR000967,IPR019786	PF01422		PS01359	SM00438	cd06008		4	
APU25_22455	matches_api	IPR001431,IPR007863,IPR011249,IPR011765	PF00675,PF05193		PS00143			SSF63411	4	IPR050361
APU25_22460	matches_api	IPR022742,IPR029058	PF12146					SSF53474	2	IPR051044
APU25_22465	matches_api	IPR001841,IPR006845,IPR017907	PF04757,PF13639		PS00518,PS50089	SM00184	cd16527	SSF57850	7	IPR013083,IPR025654
APU25_22470	matches_api	IPR003442,IPR027417	PF02367	TIGR00150				SSF52540	3	
APU25_22475	matches_api	IPR000719,IPR008271,IPR011009,IPR055900	PF00069,PF24289		PS00108,PS50011			SSF56112	5	IPR050235
APU25_22480	matches_api	IPR000408,IPR009091,IPR058923	PF25390		PS00626,PS50012			SSF50985	4	IPR051210
APU25_22485	ips6_local	IPR024790,IPR024977,IPR036322	PF12894,PF12896					SSF50978	3	
APU25_22490	ips6_local	IPR008521,IPR037185	PF05653					SSF103481	2	
APU25_22495	matches_api	IPR003593,IPR003959,IPR003960,IPR027417,IPR037219,IPR041569	PF00004,PF17862		PS00674	SM00382		SSF140990,SSF52540	6	
APU25_22500	ips6_local	IPR019188	PF09808						1	
APU25_22505	ips6_local	IPR001611	PF13516			SM00368	cd00116	SSF52047	4	
APU25_22510	ips6_local	IPR002421,IPR008918,IPR020045,IPR020046,IPR029060,IPR036279	PF01367,PF02739			SM00279,SM00475	cd09859	SSF47807,SSF88723	7	
APU25_22515	matches_api	IPR006424,IPR020828,IPR020829,IPR020830,IPR036291	PF00044,PF02800	TIGR01534	PS00071	SM00846	cd05214,cd18126	SSF51735,SSF55347	9	IPR020831
APU25_22520	ips6_local	IPR000209,IPR022398,IPR023827,IPR023828,IPR034193,IPR036852	PF00082		PS00136,PS00137,PS00138,PS51892		cd04077	SSF52743	7	
APU25_22525	ips6_local		PF10175						1	
APU25_22530	ips6_local	IPR003618,IPR036575	PF07500		PS51321	SM00510		SSF46942	4	
APU25_22535	ips6_local								0	
APU25_22540	ips6_local								0	
APU25_22545	matches_api	IPR000056,IPR011060,IPR026019	PF00834	NF004076,TIGR01163	PS01085,PS01086		cd00429	SSF51366	7	IPR013785
APU25_22550	matches_api	IPR013057	PF01490						1	
APU25_22555	ips6_local	IPR000719,IPR004147,IPR011009	PF03109		PS50011		cd05121	SSF56112	4	
APU25_22560	matches_api								0	
APU25_22565	matches_api	IPR001040,IPR019770,IPR023398	PF01652		PS00813			SSF55418	3	
APU25_22570	matches_api	IPR005352	PF03694						1	
APU25_22575	ips6_local								0	
APU25_22580	matches_api	IPR002784,IPR008991	PF01929				cd23702	SSF50104	3	IPR014722,IPR039660
APU25_22585	ips6_local	IPR054549,IPR055412	PF04884,PF24160						2	
APU25_22590	ips6_local	IPR012479	PF07818						1	
APU25_22595	ips6_local	IPR001202,IPR036020	PF00397		PS50020			SSF51045	3	
APU25_22600	matches_api	IPR043597	PF13868						1	IPR026504
APU25_22605	matches_api	IPR000727			PS50192		cd15841	SSF58038	3	
APU25_22610	ips6_local	IPR001005,IPR009057,IPR017930,IPR021786,IPR047240	PF11831,PF13921		PS50090,PS51294	SM00717	cd00167,cd11659	SSF46689	8	
APU25_22615	ips6_local	IPR009060,IPR009719	PF06972					SSF46934	2	
APU25_22620	matches_api	IPR010895	PF07452			SM00754			2	
APU25_22625	ips6_local	IPR010895	PF07452		PS50933	SM00754			3	
APU25_22630	ips6_local								0	
APU25_22635	ips6_local	IPR010895	PF07452			SM00754			2	
APU25_22640	ips6_local	IPR008217	PF01988				cd02432		2	
APU25_22645	matches_api	IPR008826	PF05694					SSF75011	2	
APU25_22650	ips6_local	IPR001196,IPR021131,IPR036227	PF00828		PS00475			SSF52080	3	
APU25_22655	matches_api	IPR032053	PF16053						1	
APU25_22660	ips6_local								0	
APU25_22665	ips6_local	IPR006734	PF04640						1	
APU25_22670	ips6_local								0	
APU25_22675	ips6_local	IPR000352,IPR005139,IPR045853	PF00472,PF03462	NF001859	PS00745	SM00937		SSF75620	6	
APU25_22680	matches_api	IPR008506,IPR036259	PF05620					SSF103473	2	
APU25_22685	ips6_local	IPR000648,IPR018494,IPR037239	PF01237		PS01013			SSF144000	3	
APU25_22690	ips6_local	IPR001251,IPR036865	PF00650				cd00170	SSF52087	3	
APU25_22695	ips6_local	IPR000719,IPR001245,IPR008266,IPR011009,IPR017441	PF07714		PS00107,PS00109,PS50011		cd14014	SSF56112	6	
APU25_22700	ips6_local	IPR000648,IPR001849,IPR037239	PF01237		PS50003	SM00233		SSF144000,SSF50729	5	
APU25_22705	ips6_local	IPR000571,IPR032297,IPR035979	PF16131		PS50103			SSF54928	3	
APU25_22710	matches_api	IPR003340,IPR015300				SM01019	cd10017	SSF101936	3	IPR044800
APU25_22715	ips6_local	IPR007271,IPR037185	PF04142	TIGR00803				SSF103481	3	
APU25_22720	ips6_local	IPR000340,IPR000387,IPR006439,IPR020422,IPR029021,IPR036412	PF00702,PF00782	TIGR01509	PS50054,PS50056	SM00195	cd14498	SSF52799,SSF56784	9	
APU25_22725	ips6_local								0	
APU25_22730	ips6_local	IPR041337	PF18360				cd21039		2	
APU25_22735	ips6_local	IPR000873,IPR020845	PF00501,PF23562		PS00455			SSF56801	4	
APU25_22740	ips6_local								0	
APU25_22745	ips6_local	IPR000629,IPR001650,IPR011545,IPR012541,IPR014001,IPR014014,IPR027417,IPR033517	PF00270,PF00271,PF08147		PS00039,PS51192,PS51194,PS51195	SM00487,SM00490,SM01123	cd17959,cd18787	SSF52540	13	
APU25_22750	ips6_local	IPR014881,IPR033411,IPR036283	PF08772,PF17146				cd09876	SSF144206	4	
APU25_22755	ips6_local	IPR004294	PF03055						1	
APU25_22760	matches_api	IPR013740,IPR013766,IPR036249,IPR037944	PF08534		PS51352		cd03013	SSF52833	4	
APU25_22765	matches_api	IPR002629,IPR013215,IPR038071	PF01717,PF08267	NF003556			cd03311	SSF51726	5	IPR006276
APU25_22770	ips6_local	IPR008144,IPR008145,IPR017665,IPR020590,IPR027417,IPR036291	PF00625	TIGR03263	PS00856,PS50052	SM00072	cd00071	SSF51735,SSF52540	8	
APU25_22775	ips6_local	IPR007919	PF05255						1	
APU25_22780	matches_api				PS51808		cd24141		2	IPR019342
APU25_22785	ips6_local	IPR001680,IPR019775,IPR036322	PF00400		PS00678,PS50082,PS50294	SM00320		SSF50978	6	
APU25_22790	ips6_local								0	
APU25_22795	ips6_local								0	
APU25_22800	ips6_local	IPR007320,IPR063585	PF04194,PF30657						2	
APU25_22805	ips6_local								0	
APU25_22810	matches_api								0	
APU25_22815	ips6_local	IPR015425	PF02181		PS51444	SM00498		SSF101447	4	
APU25_22820	ips6_local				PS51257				1	
APU25_22825	ips6_local	IPR019339,IPR022209	PF10197,PF12542			SM01083			3	
APU25_22830	matches_api	IPR001163,IPR010920,IPR033871,IPR047575	PF01423		PS52002	SM00651	cd01732	SSF50182	5	
APU25_22835	ips6_local	IPR009069			PS51808			SSF47072	2	
APU25_22840	matches_api	IPR006721,IPR036742	PF04627				cd12153	SSF48690	3	
APU25_22845	ips6_local	IPR010919,IPR034732	PF13771		PS51805		cd15571	SSF63763	4	
APU25_22850	matches_api								0	
APU25_22855	ips6_local								0	
APU25_22860	matches_api	IPR000911,IPR006519,IPR020783,IPR020784,IPR020785,IPR036769,IPR036796	PF00298,PF03946	TIGR01632	PS00359	SM00649	cd00349	SSF46906,SSF54747	8	
APU25_22865	ips6_local	IPR001680,IPR011047,IPR019775,IPR022100,IPR048591,IPR057646	PF12341,PF20946,PF24817		PS00678,PS50082,PS50294	SM00320		SSF50998	8	
APU25_22870	matches_api								0	
APU25_22875	ips6_local	IPR061680	PF30501						1	
APU25_22880	ips6_local	IPR000504,IPR034361,IPR035979	PF00076		PS50102	SM00360	cd12271	SSF54928	5	
APU25_22885	matches_api	IPR002347,IPR036291	PF00106				cd05233	SSF51735	3	IPR052625
APU25_22890	matches_api								0	
APU25_22895	ips6_local	IPR009060,IPR015940,IPR026937,IPR027417,IPR039187,IPR041969,IPR057332	PF00627,PF13871,PF13872,PF25373		PS50030	SM00165	cd14306	SSF46934,SSF52540	9	
APU25_22900	ips6_local	IPR005635	PF03941						1	
APU25_22905	ips6_local								0	
APU25_22910	ips6_local	IPR000246,IPR029055	PF01112				cd04513	SSF56235	3	
APU25_22915	ips6_local	IPR000620,IPR037185	PF00892					SSF103481	2	
APU25_22920	ips6_local	IPR008162,IPR036649	PF00719		PS00387		cd00412	SSF50324	4	
APU25_22925	ips6_local	IPR008162,IPR036649	PF00719				cd00412	SSF50324	3	
APU25_22930	ips6_local								0	
APU25_22935	ips6_local	IPR009772	PF07065						1	
APU25_22940	ips6_local	IPR000595,IPR005821,IPR018490	PF00520		PS50042	SM00100	cd00038	SSF51206,SSF81324	6	
APU25_22945	ips6_local	IPR012981	PF08190						1	
APU25_22950	ips6_local	IPR000409,IPR001680,IPR013320,IPR016024,IPR019775,IPR023362,IPR036322,IPR036372,IPR046851,IPR046852	PF02138,PF14844,PF20425,PF20426		PS00678,PS50082,PS50197,PS51783	SM01026	cd06071	SSF48371,SSF49899,SSF50729,SSF50978,SSF81837	15	
APU25_22955	matches_api	IPR006016	PF00582					SSF52402	2	IPR014729
APU25_22960	ips6_local								0	
APU25_22965	ips6_local	IPR000237	PF01465		PS50913		cd06503		3	
APU25_22970	matches_api	IPR038765,IPR046792	PF03416					SSF54001	2	IPR005078
APU25_22975	ips6_local	IPR016024						SSF48371	1	
APU25_22980	ips6_local	IPR003593,IPR010285,IPR027417,IPR049163	PF05970,PF21530			SM00382	cd18037,cd18809	SSF52540	6	
APU25_22985	matches_api	IPR004434,IPR019818,IPR024084	PF00180	TIGR00175	PS00470	SM01329		SSF53659	5	
APU25_22990	matches_api	IPR009056,IPR036909	PF00034		PS51007			SSF46626	3	IPR002327
APU25_22995	ips6_local								0	
APU25_23000	ips6_local								0	
APU25_23005	ips6_local	IPR001680,IPR036322	PF00400		PS50082,PS50294	SM00320		SSF50978	5	
APU25_23010	ips6_local								0	
APU25_23015	matches_api	IPR001925,IPR027246	PF01459				cd07306	SSF56935	3	IPR023614
APU25_23020	ips6_local	IPR000330,IPR000953,IPR001650,IPR014001,IPR016197,IPR023780,IPR025260,IPR027417,IPR049730,IPR056302	PF00176,PF00271,PF00385,PF23588		PS50013,PS51192,PS51194	SM00298,SM00487,SM00490,SM01176	cd18660,cd18793	SSF52540,SSF54160	15	
APU25_23025	matches_api	IPR002314,IPR002317,IPR006195,IPR010978,IPR015866,IPR033729,IPR045864	PF00587,PF02403	TIGR00414	PS50862		cd00770	SSF46589,SSF55681	7	IPR042103
APU25_23030	matches_api	IPR020164	PF14138						1	
APU25_23035	matches_api								0	
APU25_23040	ips6_local	IPR001471,IPR016177	PF00847		PS51032	SM00380		SSF54171	4	
APU25_23045	ips6_local	IPR036322						SSF50978	1	
APU25_23050	ips6_local	IPR002490	PF01496						1	
APU25_23055	ips6_local	IPR000504,IPR035979,IPR045844	PF00076		PS50102	SM00360	cd12411	SSF54928	5	
APU25_23060	ips6_local	IPR002495,IPR029044	PF01501					SSF53448	2	
APU25_23065	ips6_local	IPR002318,IPR003156,IPR009000,IPR012947,IPR018162,IPR018163,IPR018164,IPR018165,IPR045864,IPR059090	PF01411,PF02272,PF07973,PF26023	TIGR00344	PS50860	SM00863	cd00673	SSF101353,SSF50447,SSF55186,SSF55681	12	
APU25_23070	ips6_local	IPR006110,IPR020708,IPR036161	PF01192	NF002208	PS01111	SM01409		SSF63562	5	
APU25_23075	ips6_local	IPR001025,IPR059080	PF25874		PS51038		cd04370		3	
APU25_23080	ips6_local	IPR004344	PF03133		PS51221			SSF56059	3	
APU25_23085	matches_api	IPR003593,IPR010995,IPR011941,IPR013632,IPR020587,IPR020588,IPR027417,IPR060101	PF08423,PF14520	NF003301,TIGR02239	PS50162,PS50163	SM00382	cd19513	SSF47794,SSF52540	10	IPR016467
APU25_23090	ips6_local	IPR000994,IPR002468,IPR018349,IPR036005,IPR036390	PF00557	TIGR00501	PS01202		cd01088	SSF46785,SSF55920	6	
APU25_23095	ips6_local	IPR015894,IPR027417,IPR030386,IPR036543	PF02263		PS51715			SSF48340,SSF52540	4	
APU25_23100	ips6_local	IPR016024,IPR019155	PF09758					SSF48371	2	
APU25_23105	ips6_local	IPR000629,IPR001650,IPR011545,IPR014001,IPR027417,IPR044765	PF00270,PF00271		PS00039,PS51192,PS51194	SM00487,SM00490	cd17954,cd18787	SSF52540	10	
APU25_23110	ips6_local	IPR000795,IPR004161,IPR009000,IPR009001,IPR027417	PF00009,PF03144		PS51722		cd03694,cd03708	SSF50447,SSF50465,SSF52540	8	
APU25_23115	ips6_local	IPR002173,IPR011611,IPR029056	PF00294		PS00584		cd01168	SSF53613	4	
APU25_23120	ips6_local	IPR001054,IPR029787			PS50125			SSF55073	2	
APU25_23125	matches_api	IPR007533,IPR023471	PF04442	NF003465				SSF110111	3	
APU25_23130	matches_api	IPR012748,IPR017941,IPR036922	PF13806		PS51296		cd03467	SSF50022	4	
APU25_23135	ips6_local								0	
APU25_23140	ips6_local								0	
APU25_23145	matches_api								0	
APU25_23150	ips6_local	IPR019002	PF09420						1	
APU25_23155	ips6_local	IPR002480	PF01474	TIGR01358	PS52062			SSF51569	4	
APU25_23160	ips6_local								0	
APU25_23165	matches_api	IPR000504,IPR035979	PF00076		PS50102	SM00360		SSF54928	4	IPR012677
APU25_23170	matches_api	IPR006073,IPR019991,IPR027417	PF01926	TIGR03596			cd01856	SSF52540	4	IPR023179
APU25_23175	ips6_local								0	
APU25_23180	ips6_local	IPR000679	PF00320		PS00344,PS50114	SM00401	cd00202	SSF57716	6	
APU25_23185	ips6_local								0	
APU25_23190	ips6_local	IPR001104	PF02544		PS50244				2	
APU25_23195	ips6_local	IPR039204	PF22099				cd12823		2	
APU25_23200	ips6_local	IPR006089,IPR006091,IPR009075,IPR009100,IPR013786,IPR036250	PF00441,PF02770,PF02771		PS00072,PS00073			SSF47203,SSF56645	7	
APU25_23205	ips6_local	IPR015915	PF24681					SSF117281	2	
APU25_23210	ips6_local	IPR011611,IPR029056	PF00294					SSF53613	2	
APU25_23215	ips6_local								0	
APU25_23220	ips6_local	IPR000253,IPR008984	PF00498		PS50006		cd22667	SSF49879	4	
APU25_23225	ips6_local								0	
APU25_23230	matches_api	IPR006043	PF00860						1	IPR045018
APU25_23235	ips6_local	IPR005123,IPR026992,IPR044861	PF03171,PF14226		PS51471			SSF51197	4	
APU25_23240	ips6_local								0	
APU25_23245	ips6_local	IPR001471,IPR016177			PS51032	SM00380		SSF54171	3	
APU25_23250	ips6_local	IPR000073,IPR007130,IPR029058	PF00561,PF03982				cd07987	SSF53474	4	
APU25_23255	ips6_local								0	
APU25_23260	matches_api								0	
APU25_23265	matches_api								0	
APU25_23270	matches_api								0	
APU25_23275	matches_api	IPR035426	PF04938						1	
APU25_23280	ips6_local	IPR005828,IPR036259	PF00083					SSF103473	2	
APU25_23285	matches_api	IPR000760,IPR020550,IPR020583,IPR033942	PF00459		PS00629,PS00630		cd01639	SSF56655	5	
APU25_23290	ips6_local	IPR011050,IPR024535	PF12708					SSF51126	2	
APU25_23295	matches_api	IPR011050			PS51257			SSF51126	2	IPR012334
APU25_23300	ips6_local								0	
APU25_23305	matches_api	IPR024438	PF12638						1	
APU25_23310	matches_api	IPR001790,IPR040637,IPR043141	PF00428,PF00466,PF17777				cd05795	SSF160369	5	IPR030670,IPR043164,IPR050323
APU25_23315	matches_api	IPR002194,IPR002423,IPR012721,IPR027409,IPR027410,IPR027413	PF00118	TIGR02346	PS00750		cd03341	SSF48592,SSF52029,SSF54849	7	IPR017998
APU25_23320	matches_api	IPR000315,IPR010402	PF00643,PF06203		PS50119,PS51017				4	IPR045281
APU25_23325	ips6_local	IPR001547,IPR017853	PF26410					SSF51445	2	
APU25_23330	ips6_local								0	
APU25_23335	ips6_local								0	
APU25_23340	matches_api								0	
APU25_23345	ips6_local	IPR002489,IPR002932,IPR006982,IPR017932,IPR029055,IPR036485	PF00310,PF01493,PF01645,PF04898	NF008730	PS51278		cd00713,cd00982,cd02808	SSF51395,SSF56235,SSF69336	12	
APU25_23350	ips6_local								0	
APU25_23355	matches_api	IPR002043,IPR005122,IPR018085,IPR036895	PF03167	NF003588,NF003589,NF003591,NF003592,TIGR00628	PS00130	SM00986,SM00987	cd10027	SSF52141	11	
APU25_23360	ips6_local								0	
APU25_23365	ips6_local	IPR001646	PF00805					SSF141571	2	
APU25_23370	ips6_local	IPR007052,IPR007699,IPR008978,IPR011990,IPR019734	PF04969,PF05002		PS50005,PS51048,PS51203	SM00028	cd06466	SSF48452,SSF49764	9	
APU25_23375	ips6_local								0	
APU25_23380	matches_api	IPR000408,IPR000569,IPR009060,IPR009091,IPR015940,IPR035983,IPR058923	PF00415,PF00632,PF22562,PF25390		PS00626,PS50012,PS50237	SM00119	cd00078	SSF46934,SSF50985,SSF56204	12	IPR051709
APU25_23385	matches_api	IPR002942,IPR013843,IPR013845,IPR018199,IPR032277,IPR041982	PF00900,PF01479,PF08071,PF16121	NF003312	PS00528,PS50889	SM00363	cd00165,cd06087	SSF55174	11	IPR000876,IPR014722,IPR036986,IPR038237
APU25_23390	matches_api	IPR007277	PF04148						1	
APU25_23395	matches_api	IPR000023,IPR011183,IPR035966	PF00365	NF005482,TIGR02477				SSF53784	4	IPR022953
APU25_23400	ips6_local	IPR000642,IPR003593,IPR003959,IPR003960,IPR027417,IPR037219,IPR041569	PF00004,PF01434,PF17862		PS00674	SM00382	cd19501	SSF140990,SSF52540	8	
APU25_23405	ips6_local	IPR000192,IPR015424	PF00266					SSF53383	2	
APU25_23410	matches_api	IPR037185						SSF103481	1	
